The starting price is: $10.00
On day 1 price is: $9.83
On day 2 price is: $9.70
On day 3 price is: $9.66
On day 4 price is: $10.49
On day 5 price is: $11.76
On day 6 price is: $13.03
On day 7 price is: $12.70
On day 8 price is: $12.51
On day 9 price is: $12.32
On day 10 price is: $12.23
On day 11 price is: $13.02
On day 12 price is: $14.90
On day 13 price is: $17.36
On day 14 price is: $16.52
On day 15 price is: $17.89
On day 16 price is: $17.29
On day 17 price is: $16.85
On day 18 price is: $16.05
On day 19 price is: $17.87
On day 20 price is: $17.83
On day 21 price is: $19.92
On day 22 price is: $21.08
On day 23 price is: $23.84
On day 24 price is: $23.67
On day 25 price is: $23.30
On day 26 price is: $22.81
On day 27 price is: $26.40
On day 28 price is: $26.22
On day 29 price is: $25.74
On day 30 price is: $25.10
On day 31 price is: $24.14
On day 32 price is: $23.48
On day 33 price is: $22.45
On day 34 price is: $21.82
On day 35 price is: $21.02
On day 36 price is: $20.53
On day 37 price is: $23.97
On day 38 price is: $23.67
On day 39 price is: $23.55
On day 40 price is: $23.08
On day 41 price is: $23.48
On day 42 price is: $22.61
On day 43 price is: $22.23
On day 44 price is: $25.83
On day 45 price is: $25.25
On day 46 price is: $24.96
On day 47 price is: $27.32
On day 48 price is: $28.59
On day 49 price is: $27.58
On day 50 price is: $27.33
On day 51 price is: $26.37
On day 52 price is: $25.93
On day 53 price is: $30.43
On day 54 price is: $29.63
On day 55 price is: $29.45
On day 56 price is: $29.38
On day 57 price is: $27.98
On day 58 price is: $27.65
On day 59 price is: $26.81
On day 60 price is: $29.78
On day 61 price is: $28.95
On day 62 price is: $27.71
On day 63 price is: $28.89
On day 64 price is: $31.39
On day 65 price is: $31.21
On day 66 price is: $30.84
On day 67 price is: $29.32
On day 68 price is: $28.45
On day 69 price is: $27.73
On day 70 price is: $27.85
On day 71 price is: $26.53
On day 72 price is: $29.86
On day 73 price is: $32.79
On day 74 price is: $37.08
On day 75 price is: $37.38
On day 76 price is: $43.64
On day 77 price is: $44.55
On day 78 price is: $44.95
On day 79 price is: $48.78
On day 80 price is: $47.39
On day 81 price is: $48.02
On day 82 price is: $52.17
On day 83 price is: $50.84
On day 84 price is: $52.37
On day 85 price is: $55.52
On day 86 price is: $56.74
On day 87 price is: $56.63
On day 88 price is: $65.53
On day 89 price is: $72.96
On day 90 price is: $82.56
On day 91 price is: $92.58
On day 92 price is: $103.54
